business_name,author_name,text,review_category
Mcdonalds Fethiye,Mr.ChatGPT,"Went in for a quick meal, but I ended up daydreaming about my holiday plans instead.",Irrelevant Content
Pukka Marmaris,Mr.ChatGPT,We came in hungry but spent most of the time debating our next road trip.,Irrelevant Content
Starbucks Bodrum,Mr.ChatGPT,"I had a latte, yet I was thinking about my presentation at work all morning.",Irrelevant Content
Churchill Bistro,Mr.ChatGPT,"Food was decent, though I mostly talked about the new book I’m reading.",Irrelevant Content
Leman Kultur,Mr.ChatGPT,"Stopped here after class, but the review I wanted to write was about my cat's antics.",Irrelevant Content
Tatbak,Mr.ChatGPT,"The place was okay, though I couldn’t stop thinking about my gym session later.",Irrelevant Content
Guzel Koy Cafe,Mr.ChatGPT,"I got tea here, but honestly I was daydreaming about my vacation plans.",Irrelevant Content
Cemo Etliekmek,Mr.ChatGPT,"The service was fine, but I mostly discussed the weather and local traffic with friends.",Irrelevant Content
Korelee,Mr.ChatGPT,"I tried the main dish, though I spent most of the time planning my next online purchase.",Irrelevant Content
Patso Burger,Mr.ChatGPT,"The burgers looked good, but I was preoccupied with my gardening project at home.",Irrelevant Content
Vefa Bozacisi,Mr.ChatGPT,"I came for a drink, yet I kept thinking about the movie I watched last night.",Irrelevant Content
Salacak,Mr.ChatGPT,"We walked in for a quick snack, but most of my attention was on the text messages I was sending.",Irrelevant Content
Nusr-et,Mr.ChatGPT,"The steak looked amazing, yet I spent the time thinking about my new car purchase.",Irrelevant Content
Tuana Restaurant,Mr.ChatGPT,"I ordered pasta here, but I kept mentally planning my friend’s birthday party.",Irrelevant Content
Cici Tantuni,Mr.ChatGPT,"I tried the special, though I mostly thought about my weekend hiking trip.",Irrelevant Content
Bunbun Kas,Mr.ChatGPT,"The food was fine, but I spent most of the meal discussing sports scores with my friends.",Irrelevant Content
Gulcimen Aspava,Mr.ChatGPT,"I came for dinner, yet I kept thinking about a podcast episode I listened to earlier.",Irrelevant Content
Nazar Cafe,Mr.ChatGPT,"Coffee was okay, but I was preoccupied with my shopping list for the week.",Irrelevant Content
Alsancak Firin,Mr.ChatGPT,"I tried the pastries, though I mostly thought about my favorite TV series finale.",Irrelevant Content
Sushico,Mr.ChatGPT,"We ordered sushi, but I spent most of the time discussing upcoming exams with my cousin.",Irrelevant Content
Sardalye,Mr.ChatGPT,"I had fish here, yet I was mentally planning my next vacation.",Irrelevant Content
Kumrucu Omur,Mr.ChatGPT,"The sandwiches were decent, though I mostly focused on my workout plan for the day.",Irrelevant Content
Kofteci Yusuf,Mr.ChatGPT,"I tried the meatballs, but I spent most of the meal planning my home renovation.",Irrelevant Content
Bogazkoy Restaurant,Mr.ChatGPT,"The ambiance was fine, yet I was preoccupied with the new book I’m reading.",Irrelevant Content
Nesh,Mr.ChatGPT,"We dined in, but my mind was mostly on my cat’s behavior at home.",Irrelevant Content
Flash,Mr.ChatGPT,"I came for a quick bite, yet I spent most of the time thinking about my office meeting.",Irrelevant Content
Metanet Lokantasi,Mr.ChatGPT,"The food looked good, though I kept discussing last night’s sports game.",Irrelevant Content
Midpoint,Mr.ChatGPT,"I tried the salad, but I mostly thought about an upcoming concert I want to attend.",Irrelevant Content
Pecko Firin Atakum,Mr.ChatGPT,"We stopped by for bread, yet I spent the meal planning my next online orders.",Irrelevant Content
Bilice,Mr.ChatGPT,"The ambiance was okay, but I was preoccupied with my fitness routine.",Irrelevant Content
Baruthane Pilavcisi,Mr.ChatGPT,"I ordered rice, but I spent most of the meal thinking about the new phone I bought.",Irrelevant Content
Medeniyetler Sofrasi,Mr.ChatGPT,"The food was fine, but I mostly thought about my morning run and workout schedule.",Irrelevant Content
Backyard,Mr.ChatGPT,"I came here for a meal, though I spent most of the time planning my weekend trip.",Irrelevant Content
Alavara,Mr.ChatGPT,"The drinks were good, yet I couldn’t stop thinking about my favorite TV show episode.",Irrelevant Content
Zula,Mr.ChatGPT,"We ordered dinner, but my mind was mostly on my guitar practice later.",Irrelevant Content
Kafros Pizzeria,Mr.ChatGPT,"The pizza looked tasty, though I was distracted by my grocery list for the week.",Irrelevant Content
Kebabci Halil Usta,Mr.ChatGPT,"I tried the kebabs, but I spent most of the meal thinking about a recent movie I watched.",Irrelevant Content
Abidin Tantuni,Mr.ChatGPT,"Food was decent, yet I was preoccupied with my friend’s wedding plans.",Irrelevant Content
Ahsap Iskender,Mr.ChatGPT,"I had lunch here, but I kept thinking about my new shoes and upcoming errands.",Irrelevant Content
Kasikla Restaurant,Mr.ChatGPT,"The main course was fine, though my mind wandered to my fitness routine.",Irrelevant Content
Askin Tostevi,Mr.ChatGPT,"I came for a sandwich, but I spent most of the meal daydreaming about my cat.",Irrelevant Content
Pizzeria Remo,Mr.ChatGPT,"The ambiance was nice, yet I was distracted by the latest news on my phone.",Irrelevant Content
Diyarbakir Ocakbasi Palace,Mr.ChatGPT,"I tried the meat, but mostly I thought about my next online purchase.",Irrelevant Content
Kaliteci,Mr.ChatGPT,"The meal was okay, though I spent most of the time thinking about a book I’m reading.",Irrelevant Content
Sanukiya,Mr.ChatGPT,"I ordered ramen, but I kept thinking about my upcoming meeting at work.",Irrelevant Content
KFC,Mr.ChatGPT,"Food was fine, yet my mind wandered to the football match later that evening.",Irrelevant Content
Kruvasan,Mr.ChatGPT,"We had croissants, but I mostly talked about a podcast episode I liked.",Irrelevant Content
Midyeci Ahmet,Mr.ChatGPT,"I tried the mussels, though I spent most of the time planning my next vacation.",Irrelevant Content
Kalkanoglu Pilav,Mr.ChatGPT,"The rice dish was decent, but I was preoccupied with my gardening project.",Irrelevant Content
Monica Kitchen,Mr.ChatGPT,"I came here for lunch, yet I mostly thought about my morning jog.",Irrelevant Content
Sevinc Pastanesi,Mr.ChatGPT,"The desserts looked good, but I spent most of the meal planning my next online order.",Irrelevant Content
Hasan Usta,Mr.ChatGPT,"I had kebabs, though I kept thinking about my cat’s funny behavior at home.",Irrelevant Content
Magro,Mr.ChatGPT,"We stopped for a quick meal, yet I was distracted by my phone notifications.",Irrelevant Content
Duveroglu,Mr.ChatGPT,"Food was fine, though I spent most of the time discussing weekend plans with a friend.",Irrelevant Content
Rumeli Iskembecisi,Mr.ChatGPT,"I tried the stew, but I was preoccupied with my work presentation coming up.",Irrelevant Content
Ege Vera,Mr.ChatGPT,"The meal was okay, though I mostly thought about my favorite music playlist.",Irrelevant Content
Antakya Mutfagi,Mr.ChatGPT,"I had lunch here, yet I kept thinking about my morning run routine.",Irrelevant Content
Mevlana Lokantasi,Mr.ChatGPT,"The food looked good, but I was distracted by news I read earlier.",Irrelevant Content
Balikci Tanju,Mr.ChatGPT,"I tried the fish, though I spent most of the time planning my grocery shopping.",Irrelevant Content
Yesemek,Mr.ChatGPT,"The place was fine, but I mostly talked about my favorite TV series.",Irrelevant Content
Umut Pide,Mr.ChatGPT,"I ordered pide, but I kept thinking about my friend’s birthday party.",Irrelevant Content
Sema Gozleme,Mr.ChatGPT,"Food was decent, yet I spent most of the meal thinking about my new shoes.",Irrelevant Content
Asucan Restaurant,Mr.ChatGPT,"I had lunch here, though I mostly discussed my favorite movie with friends.",Irrelevant Content
Ciya Sofrasi,Mr.ChatGPT,"The food looked good, but I kept thinking about my upcoming travel plans.",Irrelevant Content
Koco Restaurant,Mr.ChatGPT,"I tried the main course, yet I spent most of the time planning my weekend hike.",Irrelevant Content
Tavuk Dunyasi,Mr.ChatGPT,"The chicken was okay, but I was distracted by my morning workout routine.",Irrelevant Content
Kumsal Lokantasi,Mr.ChatGPT,"We had lunch here, though I mostly thought about the new TV series I started.",Irrelevant Content
Salih Usta,Mr.ChatGPT,"I tried the specialty, yet I spent the meal talking about my cat.",Irrelevant Content
Red Dragon,Mr.ChatGPT,"The food was fine, though I kept thinking about my online shopping list.",Irrelevant Content
Mado,Mr.ChatGPT,"I had dessert here, but I was mostly distracted by my phone notifications.",Irrelevant Content
Classic Thai,Mr.ChatGPT,"I tried the noodles, though I spent most of the meal planning my weekend activities.",Irrelevant Content
Inegol Restaurant,Mr.ChatGPT,"The kebabs looked good, but I mostly talked about my favorite podcast episode.",Irrelevant Content
Karakoy Lokantasi,Mr.ChatGPT,"I came here for lunch, yet I spent most of the meal thinking about my gardening project.",Irrelevant Content
Mersinli Cigerci Apo,Mr.ChatGPT,"The meat was okay, but I kept thinking about my friend’s birthday plans.",Irrelevant Content
Baskent Aspava,Mr.ChatGPT,"Food was decent, though I mostly focused on my upcoming exam schedule.",Irrelevant Content
Sini Mugla,Mr.ChatGPT,"I tried the local dishes, yet I spent most of the meal planning my next holiday.",Irrelevant Content
Fikret Balik Restaurant,Mr.ChatGPT,"The fish was good, but I was distracted by my morning run and coffee.",Irrelevant Content
Kocak Baklava,Mr.ChatGPT,"I had dessert here, though I mostly thought about my new shoes and errands.",Irrelevant Content
Kadineli,Mr.ChatGPT,"The food looked nice, but I spent most of the time planning my weekend activities.",Irrelevant Content
Anzelha,Mr.ChatGPT,"I tried the specialty, yet I was mostly focused on my favorite TV show.",Irrelevant Content
Akpinar Restaurant,Mr.ChatGPT,"The meal was okay, though I spent most of the time thinking about my cat.",Irrelevant Content
Kebabci Mahmut,Mr.ChatGPT,"I had kebabs, yet I mostly focused on my workout routine after the meal.",Irrelevant Content
J Burber,Mr.ChatGPT,"We came for lunch, but I kept thinking about my online shopping list.",Irrelevant Content
Popeyes,Mr.ChatGPT,"The chicken was good, though I spent most of the meal planning my weekend trip.",Irrelevant Content
Say Cheese,Mr.ChatGPT,"I tried the specialty, yet I mostly thought about my favorite podcast episode.",Irrelevant Content
Kukis Suadiye,Mr.ChatGPT,"The food was fine, though I kept thinking about my morning jog and errands.",Irrelevant Content
Lipa,Mr.ChatGPT,"I had lunch here, yet I spent most of the meal planning my next holiday.",Irrelevant Content
Minoa,Mr.ChatGPT,"The meal looked good, but I was distracted by a book I’m reading.",Irrelevant Content
Suflor,Mr.ChatGPT,"I tried the main dish, though I spent most of the time thinking about my cat.",Irrelevant Content
Berdan Doner,Mr.ChatGPT,"The food was okay, yet I mostly talked about my favorite TV series.",Irrelevant Content
Miss Pizza,Mr.ChatGPT,"I came for pizza, but I kept thinking about my weekend plans instead.",Irrelevant Content
Haci'nin Yeri - Yigit Lokantasi,Mr.ChatGPT,Check out Haci'nin Yeri - Yigit Lokantasi at www.hacininyeriyigitlokantasi.com for special offers this week!,Advertisement
Pizza Fellas,Mr.ChatGPT,Use code SAVE20 at Pizza Fellas and enjoy instant discounts on your meal.,Advertisement
Cafe Inn,Mr.ChatGPT,Follow @cafeinn on Instagram for free desserts and giveaways.,Advertisement
Riviera,Mr.ChatGPT,Download the Riviera app today and unlock members-only deals.,Advertisement
Sakip Usta Gaziantep,Mr.ChatGPT,Exclusive promo: Mention this review at Sakip Usta Gaziantep for a surprise discount.,Advertisement
Imam Cagdas,Mr.ChatGPT,Don’t miss happy hour at Imam Cagdas! Check Facebook for secret codes.,Advertisement
Gold Semaver,Mr.ChatGPT,Visit goldsemaver.net and order online to get free delivery this month.,Advertisement
Fethiye Dondurmacisi,Mr.ChatGPT,Join the loyalty club at Fethiye Dondurmacisi to earn points on every purchase.,Advertisement
My Friends Burger,Mr.ChatGPT,Limited-time offer at My Friends Burger: 2-for-1 meals this weekend!,Advertisement
Mcdonalds Fethiye,Mr.ChatGPT,Tag a friend and follow @mcdonaldsfethiye for a chance to win a free dinner.,Advertisement
Pukka Marmaris,Mr.ChatGPT,Check out Pukka Marmaris at www.pukkamarmaris.com for special offers this week!,Advertisement
Starbucks Bodrum,Mr.ChatGPT,Use code SAVE20 at Starbucks Bodrum and enjoy instant discounts on your meal.,Advertisement
Churchill Bistro,Mr.ChatGPT,Follow @churchillbistro on Instagram for free desserts and giveaways.,Advertisement
Leman Kultur,Mr.ChatGPT,Download the Leman Kultur app today and unlock members-only deals.,Advertisement
Tatbak,Mr.ChatGPT,Exclusive promo: Mention this review at Tatbak for a surprise discount.,Advertisement
Guzel Koy Cafe,Mr.ChatGPT,Don’t miss happy hour at Guzel Koy Cafe! Check Facebook for secret codes.,Advertisement
Cemo Etliekmek,Mr.ChatGPT,Visit cemoetliekmek.net and order online to get free delivery this month.,Advertisement
Korelee,Mr.ChatGPT,Join the loyalty club at Korelee to earn points on every purchase.,Advertisement
Patso Burger,Mr.ChatGPT,Limited-time offer at Patso Burger: 2-for-1 meals this weekend!,Advertisement
Vefa Bozacisi,Mr.ChatGPT,Tag a friend and follow @vefabozacisi for a chance to win a free dinner.,Advertisement
Salacak,Mr.ChatGPT,Check out Salacak at www.salacak.com for special offers this week!,Advertisement
Nusr-et,Mr.ChatGPT,Use code SAVE20 at Nusr-et and enjoy instant discounts on your meal.,Advertisement
Tuana Restaurant,Mr.ChatGPT,Follow @tuanarestaurant on Instagram for free desserts and giveaways.,Advertisement
Cici Tantuni,Mr.ChatGPT,Download the Cici Tantuni app today and unlock members-only deals.,Advertisement
Bunbun Kas,Mr.ChatGPT,Exclusive promo: Mention this review at Bunbun Kas for a surprise discount.,Advertisement
Gulcimen Aspava,Mr.ChatGPT,Don’t miss happy hour at Gulcimen Aspava! Check Facebook for secret codes.,Advertisement
Nazar Cafe,Mr.ChatGPT,Visit nazarcafe.net and order online to get free delivery this month.,Advertisement
Alsancak Firin,Mr.ChatGPT,Join the loyalty club at Alsancak Firin to earn points on every purchase.,Advertisement
Sushico,Mr.ChatGPT,Limited-time offer at Sushico: 2-for-1 meals this weekend!,Advertisement
Sardalye,Mr.ChatGPT,Tag a friend and follow @sardalye for a chance to win a free dinner.,Advertisement
Kumrucu Omur,Mr.ChatGPT,Check out Kumrucu Omur at www.kumrucuomur.com for special offers this week!,Advertisement
Kofteci Yusuf,Mr.ChatGPT,Use code SAVE20 at Kofteci Yusuf and enjoy instant discounts on your meal.,Advertisement
Bogazkoy Restaurant,Mr.ChatGPT,Follow @bogazkoyrestaurant on Instagram for free desserts and giveaways.,Advertisement
Nesh,Mr.ChatGPT,Download the Nesh app today and unlock members-only deals.,Advertisement
Flash,Mr.ChatGPT,Exclusive promo: Mention this review at Flash for a surprise discount.,Advertisement
Metanet Lokantasi,Mr.ChatGPT,Don’t miss happy hour at Metanet Lokantasi! Check Facebook for secret codes.,Advertisement
Midpoint,Mr.ChatGPT,Visit midpoint.net and order online to get free delivery this month.,Advertisement
Pecko Firin Atakum,Mr.ChatGPT,Join the loyalty club at Pecko Firin Atakum to earn points on every purchase.,Advertisement
Bilice,Mr.ChatGPT,Limited-time offer at Bilice: 2-for-1 meals this weekend!,Advertisement
Baruthane Pilavcisi,Mr.ChatGPT,Tag a friend and follow @baruthanepilavcisi for a chance to win a free dinner.,Advertisement
Medeniyetler Sofrasi,Mr.ChatGPT,Check out Medeniyetler Sofrasi at www.medeniyetlersofrasi.com for special offers this week!,Advertisement
Backyard,Mr.ChatGPT,Use code SAVE20 at Backyard and enjoy instant discounts on your meal.,Advertisement
Alavara,Mr.ChatGPT,Follow @alavara on Instagram for free desserts and giveaways.,Advertisement
Zula,Mr.ChatGPT,Download the Zula app today and unlock members-only deals.,Advertisement
Kafros Pizzeria,Mr.ChatGPT,Exclusive promo: Mention this review at Kafros Pizzeria for a surprise discount.,Advertisement
Kebabci Halil Usta,Mr.ChatGPT,Don’t miss happy hour at Kebabci Halil Usta! Check Facebook for secret codes.,Advertisement
Abidin Tantuni,Mr.ChatGPT,Visit abidintantuni.net and order online to get free delivery this month.,Advertisement
Ahsap Iskender,Mr.ChatGPT,Join the loyalty club at Ahsap Iskender to earn points on every purchase.,Advertisement
Kasikla Restaurant,Mr.ChatGPT,Limited-time offer at Kasikla Restaurant: 2-for-1 meals this weekend!,Advertisement
Askin Tostevi,Mr.ChatGPT,Tag a friend and follow @askintostevi for a chance to win a free dinner.,Advertisement
Pizzeria Remo,Mr.ChatGPT,Check out Pizzeria Remo at www.pizzeriaremo.com for special offers this week!,Advertisement
Diyarbakir Ocakbasi Palace,Mr.ChatGPT,Use code SAVE20 at Diyarbakir Ocakbasi Palace and enjoy instant discounts on your meal.,Advertisement
Kaliteci,Mr.ChatGPT,Follow @kaliteci on Instagram for free desserts and giveaways.,Advertisement
Sanukiya,Mr.ChatGPT,Download the Sanukiya app today and unlock members-only deals.,Advertisement
KFC,Mr.ChatGPT,Exclusive promo: Mention this review at KFC for a surprise discount.,Advertisement
Kruvasan,Mr.ChatGPT,Don’t miss happy hour at Kruvasan! Check Facebook for secret codes.,Advertisement
Midyeci Ahmet,Mr.ChatGPT,Visit midyeciahmet.net and order online to get free delivery this month.,Advertisement
Kalkanoglu Pilav,Mr.ChatGPT,Join the loyalty club at Kalkanoglu Pilav to earn points on every purchase.,Advertisement
Monica Kitchen,Mr.ChatGPT,Limited-time offer at Monica Kitchen: 2-for-1 meals this weekend!,Advertisement
Sevinc Pastanesi,Mr.ChatGPT,Tag a friend and follow @sevincpastanesi for a chance to win a free dinner.,Advertisement
Hasan Usta,Mr.ChatGPT,Check out Hasan Usta at www.hasanusta.com for special offers this week!,Advertisement
Magro,Mr.ChatGPT,Use code SAVE20 at Magro and enjoy instant discounts on your meal.,Advertisement
Duveroglu,Mr.ChatGPT,Follow @duveroglu on Instagram for free desserts and giveaways.,Advertisement
Rumeli Iskembecisi,Mr.ChatGPT,Download the Rumeli Iskembecisi app today and unlock members-only deals.,Advertisement
Ege Vera,Mr.ChatGPT,Exclusive promo: Mention this review at Ege Vera for a surprise discount.,Advertisement
Antakya Mutfagi,Mr.ChatGPT,Don’t miss happy hour at Antakya Mutfagi! Check Facebook for secret codes.,Advertisement
Mevlana Lokantasi,Mr.ChatGPT,Visit mevlanalokantasi.net and order online to get free delivery this month.,Advertisement
Balikci Tanju,Mr.ChatGPT,Join the loyalty club at Balikci Tanju to earn points on every purchase.,Advertisement
Yesemek,Mr.ChatGPT,Limited-time offer at Yesemek: 2-for-1 meals this weekend!,Advertisement
Umut Pide,Mr.ChatGPT,Tag a friend and follow @umutpide for a chance to win a free dinner.,Advertisement
Sema Gozleme,Mr.ChatGPT,Check out Sema Gozleme at www.semagozleme.com for special offers this week!,Advertisement
Asucan Restaurant,Mr.ChatGPT,Use code SAVE20 at Asucan Restaurant and enjoy instant discounts on your meal.,Advertisement
Ciya Sofrasi,Mr.ChatGPT,Follow @ciyasofrasi on Instagram for free desserts and giveaways.,Advertisement
Koco Restaurant,Mr.ChatGPT,Download the Koco Restaurant app today and unlock members-only deals.,Advertisement
Tavuk Dunyasi,Mr.ChatGPT,Exclusive promo: Mention this review at Tavuk Dunyasi for a surprise discount.,Advertisement
